STATION,LAT,LON,ALTITUDE,TEMP,MAXTEMP,MINTEMP,CLOUD,RAIN
Pfullendorf,47.9344,9.2869,630,7.2,11.8,3,68,840
Philippsburg,49.2511,8.4415,100,10.2,14.7,5.9,64,743
Pirmasens,49.1912,7.5879,385,8.6,13,4.5,65,867
Plauen,50.4819,12.13,386,8,12.3,3.8,67,611
Plön (See),54.159,10.402,24,8.2,11.6,5.2,67,683
Pommelsbrunn,49.5058,11.5142,368,7.6,12.6,3.6,65,933
Potsdam,52.3813,13.0622,81,8.8,13.3,4.9,67,587
Puch,48.1877,11.2206,550,7.8,12.3,4.2,70,930
Putbus,54.3643,13.4771,40,7.8,10.9,4.9,70,595
Quedlinburg,51.7954,11.1319,142,8.9,13,4.5,67,479
Quickborn (Kurzer Kamp),53.7276,9.9071,27,8.3,12.3,4.2,66,773
Quickborn,53.7331,9.8776,13,8.3,12.3,4,68,694
Radolfzell-Markelfingen,47.7458,9.0007,407,9.2,13.6,5.2,69,796
Rahden-Kleinendorf,52.4461,8.5906,40,9.3,13.5,5.3,67,677
Rastenberg,51.1765,11.4183,200,8.6,13.3,4.4,64,583
Rauschberg bei Ruhpolding,47.7327,12.6827,1640,3.7,7.4,0.8,63,1897
Weingarten. Kr. Ravensburg,47.8062,9.6206,440,8.6,13.4,4.4,67,947
Regensburg,49.0424,12.1021,365,8.3,12.9,4.1,67,619
Reichenhall. Bad,47.7238,12.874,470,8.3,13.5,4,65,1558
Marienberg-Reitzenhain,50.5602,13.2222,764,4.6,8.6,0.6,69,888
Rheinau-Memprechtshofen,48.6703,7.9939,131,10,15,5.6,68,890
Rheinfelden,47.559,7.7721,282,10.4,15.1,6.3,66,992
Rheinstetten,48.9726,8.3301,116,9.9,14.5,5.3,72,789
Rodewisch,50.5263,12.4091,464,7.4,11.7,3.5,71,786
Roetgen,50.6407,6.2058,440,7.8,11.5,4.4,67,1076
Rosenheim,47.8754,12.128,444,8.6,13.7,4.2,66,1093
Rostock-Warnemünde,54.1803,12.0808,4,8.7,11.9,5.9,69,592
Rotenburg (Wümme),53.1288,9.3398,32,8.8,12.9,4.9,67,752
Roth bei Nürnberg,49.2511,11.0934,340,8.4,13.4,3.7,62,703
Rothenburg ob der Tauber,49.3848,10.1732,415,8.5,13,4.4,66,680
Rothenfelde. Bad,52.1039,8.1809,95,9,12.8,5,62,833
Rottweil,48.1814,8.6356,588,7.6,12.8,3,68,794
Kreuznach. Bad,49.8502,7.871,102,9.8,14.3,5.5,66,520
Ruppertsecken,49.6467,7.8835,461,8.8,12.4,5.6,61,663
Saarbrücken-Ensheim,49.2128,7.1077,320,9.3,13.2,5.4,67,844
Saarbrücken-Sankt Johann,49.2231,7.0168,193,10.3,14.3,5.8,67,800
Saldenburg-Entschenreuth,48.7832,13.3146,456,7.9,12.9,3.4,68,1081
Salzgitter-Ringelheim,52.0355,10.3054,138,8.9,13,5,69,692
Salzuflen. Bad,52.1042,8.7521,135,9.3,13.3,5.6,70,799
Salzwedel,52.8568,11.143,23,8,12.8,4.2,68,552
Sandberg,50.3519,10.0032,510,8,11.5,4.9,68,947
Sankt Peter-Ording,54.3279,8.603,5,8.8,11.7,5.9,69,808
Sassendorf. Bad-Ostinghausen,51.6334,8.1872,81,9,13.3,4.9,68,741
Schaafheim-Schlierbach,49.9195,8.9671,155,9.9,14.5,5.4,65,631
Schallstadt-Mengen,47.9556,7.7134,212,10.2,15.2,5.9,68,754
Wernigerode-Schierke,51.7658,10.6533,609,5.7,10,1.7,73,1257
Schleiz,50.5679,11.8041,501,7.7,11.6,4,74,585
Schleswig,54.5275,9.5486,42,8.4,11.8,5.1,69,893
Schleswig-Stadtfeld,54.5227,9.5649,19,7.9,11.3,4.7,71,828
Schlossböckelheim,49.7961,7.7583,170,9.2,13.9,4.9,64,556
Schlüchtern-Kloster Gomfritz,50.3849,9.5358,375,7.6,11.5,3.6,72,936
Schlüchtern-Herolz,50.3447,9.5534,230,9.1,14,4.5,66,821
Schmatzfeld,51.8833,10.7667,198,8.3,12.7,4.4,0,567
Schmelz-Hüttersdorf,49.422,6.8396,223,9.2,13.9,4.8,64,1047
Schmücke,50.6546,10.7693,937,4.6,7.9,1.8,74,1294
Schnarrtanne-Vogelsgrün,50.5,12.45,708,5.6,9.6,2.1,65,887
Schneifelforsthaus,50.2968,6.4194,649,6.4,10.2,3.2,67,1110
Schopfheim-Eichen,47.6463,7.8439,400,8.8,14.1,4.7,63,1248
Schotten,50.4925,9.1226,265,8.6,12.6,4.9,68,909
Schwäbisch Gmünd-Strassdorf,48.7768,9.8025,415,8.7,14,4.7,62,965
